Hour,Value1,Value2
215,0.99,0.99
216,0.06,0.06
217,0.1,0.1
218,1.0,1.0
219,0.69,0.69
220,0.4,0.4
221,0.67,0.67
222,0.99,0.99
223,0.12,0.12
224,0.62,0.62
225,0.25,0.25
226,0.49,0.49
227,0.11,0.11
228,0.87,0.87
229,0.47,0.47
230,0.27,0.27
231,0.13,0.13
232,0.62,0.62
233,0.88,0.88
234,0.28,0.28
235,0.42,0.42
236,0.22,0.22
237,0.69,0.69
238,0.9,0.9
239,0.98,0.98
240,0.35,0.35
241,0.87,0.87
242,0.4,0.4
243,0.31,0.31
244,0.96,0.96
245,0.92,0.92
246,0.4,0.4
247,0.3,0.3
248,0.44,0.44
249,0.14,0.14
250,0.06,0.06
251,0.45,0.45
252,0.42,0.42
253,0.2,0.2
254,0.93,0.93
255,0.93,0.93
256,0.95,0.95
257,0.21,0.21
258,0.51,0.51
259,0.37,0.37
260,0.74,0.74
261,0.31,0.31
262,0.19,0.19
263,0.41,0.41
264,1.0,1.0
265,0.75,0.75
266,0.29,0.29
267,0.71,0.71
268,0.16,0.16
269,0.54,0.54
270,0.69,0.69
271,0.99,0.99
272,0.31,0.31
273,0.41,0.41
274,0.44,0.44
275,0.58,0.58
276,0.51,0.51
277,0.47,0.47
278,0.32,0.32
279,0.81,0.81
280,0.94,0.94
281,0.02,0.02
282,0.63,0.63
283,0.15,0.15
284,0.58,0.58
285,0.79,0.79
286,0.77,0.77
287,0.79,0.79
288,0.85,0.85
289,0.92,0.92
290,0.22,0.22
291,0.46,0.46
292,0.62,0.62
293,0.54,0.54
294,0.67,0.67
295,0.73,0.73
296,0.61,0.61
297,0.53,0.53
298,0.59,0.59
299,0.72,0.72
300,0.75,0.75
301,0.73,0.73
302,0.3,0.3
303,0.65,0.65
304,0.77,0.77
305,0.76,0.76
306,0.58,0.58
307,0.95,0.95
308,0.24,0.24
309,0.43,0.43
310,0.05,0.05
311,0.51,0.51
312,0.14,0.14
313,0.6,0.6
314,0.97,0.97
315,0.07,0.07
316,0.5,0.5
317,0.83,0.83
318,0.5,0.5
319,0.42,0.42
320,0.82,0.82
321,0.59,0.59
322,0.72,0.72
323,0.73,0.73
324,0.12,0.12
325,0.89,0.89
326,0.89,0.89
327,0.81,0.81
328,0.7,0.7
329,0.18,0.18
330,0.86,0.86
331,0.83,0.83
332,0.15,0.15
333,0.12,0.12
334,0.68,0.68
335,0.16,0.16
336,0.52,0.52
337,0.43,0.43
338,0.24,0.24
339,0.43,0.43
340,0.08,0.08
341,0.54,0.54
342,0.66,0.66
343,0.76,0.76
344,0.96,0.96
345,0.93,0.93
346,0.87,0.87
347,0.6,0.6
348,0.24,0.24
349,0.6,0.6
350,0.08,0.08
351,0.74,0.74
352,0.13,0.13
353,0.14,0.14
354,0.93,0.93
355,0.03,0.03
356,0.49,0.49
357,0.09,0.09
358,0.9,0.9
359,0.7,0.7
360,0.49,0.49
361,0.47,0.47
362,0.24,0.24
363,0.95,0.95
364,0.6,0.6
365,0.12,0.12
366,0.63,0.63
367,0.76,0.76
368,0.05,0.05
369,0.57,0.57
370,0.76,0.76
371,0.79,0.79
372,0.32,0.32
373,0.1,0.1
374,0.98,0.98
375,0.02,0.02
376,0.35,0.35
377,0.62,0.62
378,0.33,0.33
379,0.42,0.42
380,0.86,0.86
381,0.35,0.35
382,0.61,0.61
383,0.77,0.77
384,0.16,0.16
385,0.38,0.38
386,0.42,0.42
387,0.13,0.13
388,0.54,0.54
389,0.54,0.54
390,0.47,0.47
391,0.31,0.31
392,0.98,0.98
393,0.55,0.55
394,0.92,0.92
395,0.99,0.99
396,0.65,0.65
397,0.93,0.93
398,0.04,0.04
399,0.28,0.28
400,0.94,0.94
401,0.9,0.9
402,0.48,0.48
403,0.91,0.91
404,0.71,0.71
405,0.14,0.14
406,0.51,0.51
407,0.91,0.91
408,0.48,0.48
409,0.66,0.66
410,0.73,0.73
411,1.0,1.0
412,0.53,0.53
413,0.09,0.09
414,0.18,0.18
415,0.96,0.96
416,0.15,0.15
417,0.8,0.8
418,0.32,0.32
419,0.27,0.27
420,0.72,0.72
421,0.73,0.73
422,0.61,0.61
423,0.78,0.78
424,0.0,0.0
425,0.19,0.19
426,0.01,0.01
427,0.66,0.66
428,0.21,0.21
429,0.07,0.07
430,0.35,0.35
431,0.87,0.87
432,0.2,0.2
433,0.55,0.55
434,0.05,0.05
435,0.24,0.24
436,0.8,0.8
437,0.64,0.64
438,0.36,0.36
439,0.8,0.8
440,0.82,0.82
441,0.07,0.07
442,0.77,0.77
443,0.54,0.54
444,0.77,0.77
445,0.31,0.31
446,0.74,0.74
447,0.2,0.2
448,0.58,0.58
449,0.48,0.48
450,0.46,0.46
451,0.33,0.33
452,0.29,0.29
453,0.51,0.51
454,0.54,0.54
455,0.72,0.72
456,0.93,0.93
457,0.47,0.47
458,0.86,0.86
459,0.19,0.19
460,0.4,0.4
461,0.12,0.12
462,0.86,0.86
463,0.5,0.5
464,0.36,0.36
465,0.5,0.5
466,0.89,0.89
467,0.79,0.79
468,0.13,0.13
469,0.2,0.2
470,0.46,0.46
471,0.93,0.93
472,0.61,0.61
473,0.42,0.42
474,0.22,0.22
475,0.45,0.45
476,0.53,0.53
477,0.37,0.37
478,0.76,0.76
479,0.61,0.61
480,0.73,0.73
481,0.97,0.97
482,0.83,0.83
483,0.58,0.58
484,0.44,0.44
485,0.07,0.07
486,0.98,0.98
487,0.66,0.66
488,0.75,0.75
489,0.34,0.34
490,0.15,0.15
491,0.41,0.41
492,0.48,0.48
493,0.75,0.75
494,0.24,0.24
495,0.2,0.2
496,0.71,0.71
497,0.41,0.41
498,0.39,0.39
499,0.37,0.37
500,0.05,0.05
501,0.38,0.38
502,0.58,0.58
503,0.32,0.32
504,0.76,0.76
505,0.22,0.22
506,0.25,0.25
507,0.1,0.1
508,0.78,0.78
509,0.97,0.97
510,0.14,0.14
511,0.25,0.25
512,0.7,0.7
513,0.11,0.11
514,0.81,0.81
515,0.72,0.72
516,0.35,0.35
517,0.49,0.49
518,0.68,0.68
519,0.12,0.12
520,0.55,0.55
521,0.15,0.15
522,0.66,0.66
523,0.92,0.92
524,0.93,0.93
525,0.26,0.26
526,0.91,0.91
527,0.15,0.15
528,0.64,0.64
529,0.5,0.5
530,0.25,0.25
531,0.45,0.45
532,0.53,0.53
533,0.36,0.36
534,0.63,0.63
535,0.91,0.91
536,0.35,0.35
537,0.36,0.36
538,0.91,0.91
539,0.9,0.9
540,0.94,0.94
541,0.56,0.56
542,0.65,0.65
543,0.35,0.35
544,0.47,0.47
545,0.26,0.26
546,0.56,0.56
547,0.19,0.19
548,0.62,0.62
549,0.78,0.78
550,0.94,0.94
551,0.8,0.8
552,0.41,0.41
553,0.68,0.68
554,0.84,0.84
555,0.38,0.38
556,0.45,0.45
557,0.21,0.21
558,0.31,0.31
559,0.06,0.06
560,0.51,0.51
561,0.22,0.22
562,0.02,0.02
563,0.19,0.19
564,0.3,0.3
565,0.98,0.98
566,0.73,0.73
567,0.58,0.58
568,0.12,0.12
569,0.8,0.8
570,0.77,0.77
571,0.92,0.92
572,0.08,0.08
573,0.4,0.4
574,0.08,0.08
575,0.26,0.26
576,0.45,0.45
577,0.22,0.22
578,0.92,0.92
579,0.33,0.33
580,0.64,0.64
581,0.93,0.93
582,0.59,0.59
583,0.85,0.85
584,0.87,0.87
585,0.72,0.72
586,0.56,0.56
587,0.44,0.44
588,0.52,0.52
589,0.43,0.43
590,0.64,0.64
591,0.2,0.2
592,0.54,0.54
593,0.33,0.33
594,0.05,0.05
595,0.79,0.79
596,0.35,0.35
597,0.16,0.16
598,0.34,0.34
599,0.55,0.55
600,0.69,0.69
601,0.29,0.29
602,0.51,0.51
603,0.88,0.88
604,0.16,0.16
605,0.11,0.11
606,0.93,0.93
607,0.59,0.59
608,0.79,0.79
609,0.95,0.95
610,0.95,0.95
611,0.75,0.75
612,1.0,1.0
613,0.68,0.68
614,0.5,0.5
615,0.46,0.46
616,0.62,0.62
617,0.59,0.59
618,0.27,0.27
619,0.06,0.06
620,0.74,0.74
621,0.49,0.49
622,0.17,0.17
623,0.54,0.54
624,0.83,0.83
625,0.46,0.46
626,0.35,0.35
627,0.46,0.46
628,0.03,0.03
629,0.58,0.58
630,0.64,0.64
631,0.05,0.05
632,0.82,0.82
633,0.19,0.19
634,0.46,0.46
635,0.35,0.35
636,0.96,0.96
637,0.12,0.12
638,0.83,0.83
639,0.23,0.23
640,0.31,0.31
641,0.77,0.77
642,0.25,0.25
643,0.91,0.91
644,0.03,0.03
645,0.83,0.83
646,0.34,0.34
647,0.84,0.84
648,0.88,0.88
649,0.63,0.63
650,0.56,0.56
651,0.11,0.11
652,0.06,0.06
653,0.86,0.86
654,0.19,0.19
655,0.76,0.76
656,0.32,0.32
657,0.15,0.15
658,0.22,0.22
659,0.86,0.86
660,0.45,0.45
661,0.03,0.03
662,0.25,0.25
663,0.02,0.02
664,0.35,0.35
665,0.54,0.54
666,0.08,0.08
667,0.97,0.97
668,0.08,0.08
669,0.19,0.19
670,0.34,0.34
671,0.42,0.42
672,0.98,0.98
673,0.72,0.72
674,0.93,0.93
675,0.83,0.83
676,0.64,0.64
677,0.55,0.55
678,0.13,0.13
679,0.58,0.58
680,0.59,0.59
681,0.59,0.59
682,0.66,0.66
683,0.91,0.91
684,0.78,0.78
685,0.23,0.23
686,0.28,0.28
687,0.25,0.25
688,0.58,0.58
689,0.18,0.18
690,0.4,0.4
691,0.76,0.76
692,0.11,0.11
693,0.15,0.15
694,0.29,0.29
695,0.57,0.57
696,0.49,0.49
697,0.7,0.7
698,0.92,0.92
699,0.73,0.73
700,0.62,0.62
701,0.65,0.65
702,0.96,0.96
703,0.59,0.59
704,0.75,0.75
705,0.03,0.03
706,0.99,0.99
707,0.63,0.63
708,0.91,0.91
709,0.8,0.8
710,0.85,0.85
711,0.23,0.23
712,0.58,0.58
713,0.02,0.02
714,0.72,0.72
715,0.05,0.05
716,0.53,0.53
717,0.35,0.35
718,0.45,0.45
719,0.77,0.77
720,0.38,0.38
721,0.25,0.25
722,0.06,0.06
723,0.28,0.28
724,0.09,0.09
725,0.18,0.18
726,0.01,0.01
727,0.87,0.87
728,0.37,0.37
729,0.8,0.8
730,0.96,0.96
731,1.0,1.0
732,0.78,0.78
733,0.13,0.13
734,0.05,0.05
735,0.29,0.29
736,0.88,0.88
737,0.36,0.36
738,0.57,0.57
739,0.91,0.91
740,0.28,0.28
741,0.7,0.7
742,0.84,0.84
743,0.98,0.98
744,0.75,0.75
745,0.14,0.14
746,0.43,0.43
747,0.9,0.9
748,0.23,0.23
749,0.2,0.2
750,0.04,0.04
751,0.06,0.06
752,0.95,0.95
753,0.65,0.65
754,0.82,0.82
755,0.68,0.68
756,0.61,0.61
757,0.56,0.56
758,0.16,0.16
759,0.07,0.07
760,0.25,0.25
761,0.75,0.75
762,0.5,0.5
763,0.72,0.72
764,0.82,0.82
765,0.45,0.45
766,0.64,0.64
767,0.3,0.3
768,0.45,0.45
769,0.41,0.41
770,0.97,0.97
771,0.41,0.41
772,0.32,0.32
773,0.77,0.77
774,0.27,0.27
775,0.88,0.88
776,0.12,0.12
777,0.63,0.63
778,0.3,0.3
779,0.41,0.41
780,0.72,0.72
781,0.13,0.13
782,0.06,0.06
783,0.81,0.81
784,0.43,0.43
785,0.48,0.48
786,0.67,0.67
787,0.17,0.17
788,0.84,0.84
789,0.23,0.23
790,0.29,0.29
791,0.83,0.83
792,0.16,0.16
793,0.23,0.23
794,0.96,0.96
795,0.93,0.93
796,0.73,0.73
797,0.39,0.39
798,0.51,0.51
799,0.57,0.57
800,0.51,0.51
801,0.18,0.18
802,0.56,0.56
803,0.81,0.81
804,0.86,0.86
805,0.88,0.88
806,0.21,0.21
807,0.86,0.86
808,0.79,0.79
809,0.46,0.46
810,0.28,0.28
811,0.53,0.53
812,0.83,0.83
813,0.91,0.91
814,0.48,0.48
815,0.24,0.24
816,0.85,0.85
817,0.9,0.9
818,0.52,0.52
819,0.67,0.67
820,0.31,0.31
821,0.23,0.23
822,0.39,0.39
823,0.21,0.21
824,0.18,0.18
825,0.69,0.69
826,0.94,0.94
827,0.3,0.3
828,0.34,0.34
829,0.92,0.92
830,0.68,0.68
831,0.9,0.9
832,0.11,0.11
833,0.22,0.22
834,0.1,0.1
835,0.1,0.1
836,0.58,0.58
837,0.63,0.63
838,0.27,0.27
839,0.86,0.86
840,0.11,0.11
841,0.31,0.31
842,0.19,0.19
843,0.04,0.04
844,0.61,0.61
845,0.15,0.15
846,0.92,0.92
847,0.72,0.72
848,0.83,0.83
849,0.81,0.81
850,0.96,0.96
851,0.71,0.71
852,0.84,0.84
853,0.45,0.45
854,0.23,0.23
855,0.17,0.17
856,0.59,0.59
857,0.9,0.9
858,0.18,0.18
859,0.91,0.91
860,0.07,0.07
861,0.83,0.83
862,0.87,0.87
863,0.64,0.64
864,0.01,0.01
865,0.27,0.27
866,0.82,0.82
867,0.16,0.16
868,0.12,0.12
869,0.7,0.7
870,0.57,0.57
871,0.97,0.97
872,0.61,0.61
873,0.57,0.57
874,0.3,0.3
875,0.22,0.22
876,0.47,0.47
877,0.82,0.82
878,0.28,0.28
879,0.33,0.33
880,0.82,0.82
881,0.03,0.03
882,0.85,0.85
883,0.55,0.55
884,0.18,0.18
885,0.05,0.05
886,0.59,0.59
887,0.18,0.18
888,0.27,0.27
889,0.77,0.77
890,0.82,0.82
891,0.85,0.85
892,0.64,0.64
893,0.77,0.77
894,0.23,0.23
895,0.3,0.3
896,0.53,0.53
897,0.7,0.7
898,0.4,0.4
899,0.07,0.07
900,0.87,0.87
901,0.7,0.7
902,0.21,0.21
903,0.29,0.29
904,0.69,0.69
905,0.82,0.82
906,0.16,0.16
907,0.47,0.47
908,0.61,0.61
909,0.41,0.41
910,0.4,0.4
911,0.11,0.11
912,0.18,0.18
913,0.97,0.97
914,0.55,0.55
915,0.68,0.68
916,0.19,0.19
917,0.75,0.75
918,0.32,0.32
919,0.39,0.39
920,0.11,0.11
921,0.29,0.29
922,0.24,0.24
923,0.48,0.48
924,0.89,0.89
925,0.04,0.04
926,0.78,0.78
927,0.56,0.56
928,0.71,0.71
929,0.97,0.97
930,0.21,0.21
931,0.01,0.01
932,0.3,0.3
933,0.94,0.94
934,0.98,0.98
935,0.92,0.92
936,0.85,0.85
937,0.57,0.57
938,0.72,0.72
939,0.83,0.83
940,0.24,0.24
941,0.31,0.31
942,0.0,0.0
943,0.15,0.15
944,0.81,0.81
945,0.83,0.83
946,0.77,0.77
947,0.51,0.51
948,0.95,0.95
949,0.4,0.4
950,0.2,0.2
951,0.97,0.97
952,0.61,0.61
953,0.04,0.04
954,0.52,0.52
955,0.85,0.85
956,0.54,0.54
957,0.33,0.33
958,0.74,0.74
959,0.81,0.81
960,0.89,0.89
961,0.6,0.6
962,0.18,0.18
963,0.75,0.75
964,0.03,0.03
965,0.89,0.89
966,0.63,0.63
967,0.4,0.4
968,0.3,0.3
969,0.98,0.98
970,0.46,0.46
971,0.8,0.8
972,0.85,0.85
973,0.57,0.57
974,0.08,0.08
975,0.43,0.43
976,0.26,0.26
977,0.6,0.6
978,0.08,0.08
979,0.79,0.79
980,0.39,0.39
981,0.68,0.68
982,0.39,0.39
983,0.41,0.41
984,0.21,0.21
985,0.5,0.5
986,0.02,0.02
987,0.15,0.15
988,0.93,0.93
989,0.73,0.73
990,0.5,0.5
991,0.26,0.26
992,0.82,0.82
993,0.86,0.86
994,0.15,0.15
995,0.19,0.19
996,0.76,0.76
997,0.47,0.47
998,0.55,0.55
999,0.27,0.27
1000,0.47,0.47
1001,0.89,0.89
1002,0.59,0.59
1003,0.2,0.2
1004,0.75,0.75
1005,0.66,0.66
1006,0.81,0.81
1007,0.37,0.37
1008,0.1,0.1
1009,0.73,0.73
1010,0.61,0.61
1011,0.28,0.28
1012,0.4,0.4
1013,0.85,0.85
1014,0.7,0.7
1015,0.87,0.87
1016,0.26,0.26
1017,0.51,0.51
1018,0.81,0.81
1019,0.98,0.98
1020,0.09,0.09
1021,0.92,0.92
1022,0.79,0.79
1023,0.47,0.47
1024,0.73,0.73
1025,0.66,0.66
1026,0.14,0.14
1027,0.59,0.59
1028,0.52,0.52
1029,0.85,0.85
1030,0.21,0.21
1031,0.01,0.01
1032,0.98,0.98
1033,0.37,0.37
1034,1.0,1.0
1035,0.51,0.51
1036,0.63,0.63
1037,0.83,0.83
1038,0.76,0.76
1039,0.14,0.14
1040,0.68,0.68
1041,0.58,0.58
1042,0.13,0.13
1043,0.25,0.25
1044,0.76,0.76
1045,0.28,0.28
1046,0.53,0.53
1047,0.2,0.2
1048,0.68,0.68
1049,0.18,0.18
1050,0.08,0.08
1051,0.42,0.42
1052,0.5,0.5
1053,0.7,0.7
1054,0.73,0.73
1055,0.66,0.66
1056,0.36,0.36
1057,0.94,0.94
1058,0.88,0.88
1059,0.33,0.33
1060,0.1,0.1
1061,0.24,0.24
1062,0.92,0.92
1063,0.72,0.72
1064,0.77,0.77
1065,0.73,0.73
1066,0.65,0.65
1067,0.85,0.85
1068,0.26,0.26
1069,0.81,0.81
1070,0.58,0.58
1071,0.88,0.88
1072,0.04,0.04
1073,0.49,0.49
1074,0.58,0.58
1075,0.47,0.47
1076,0.37,0.37
1077,0.45,0.45
1078,0.39,0.39
1079,0.96,0.96
1080,0.89,0.89
1081,0.38,0.38
1082,0.4,0.4
1083,0.92,0.92
1084,0.19,0.19
1085,0.2,0.2
1086,0.88,0.88
1087,0.26,0.26
1088,0.83,0.83
1089,0.86,0.86
1090,0.62,0.62
1091,0.14,0.14
1092,0.27,0.27
1093,0.45,0.45
1094,0.69,0.69
1095,0.03,0.03
1096,0.08,0.08
1097,0.4,0.4
1098,0.6,0.6
1099,0.21,0.21
1100,0.1,0.1
1101,0.08,0.08
1102,0.76,0.76
1103,0.83,0.83
1104,0.83,0.83
1105,0.56,0.56
1106,0.76,0.76
1107,0.54,0.54
1108,0.08,0.08
1109,0.1,0.1
1110,0.11,0.11
1111,0.64,0.64
1112,0.49,0.49
1113,0.67,0.67
1114,0.24,0.24
1115,0.42,0.42
1116,0.42,0.42
1117,0.19,0.19
1118,0.64,0.64
1119,0.43,0.43
1120,0.2,0.2
1121,0.43,0.43
1122,0.33,0.33
1123,0.33,0.33
1124,0.22,0.22
1125,0.54,0.54
1126,0.83,0.83
1127,0.9,0.9
1128,0.22,0.22
1129,0.14,0.14
1130,0.37,0.37
1131,0.5,0.5
1132,0.74,0.74
1133,0.12,0.12
1134,0.28,0.28
1135,0.54,0.54
1136,0.85,0.85
1137,0.97,0.97
1138,0.7,0.7
1139,0.28,0.28
1140,0.08,0.08
1141,0.69,0.69
1142,0.38,0.38
1143,0.79,0.79
1144,0.6,0.6
1145,0.12,0.12
1146,0.21,0.21
1147,0.21,0.21
1148,0.85,0.85
1149,0.89,0.89
1150,0.66,0.66
1151,0.2,0.2
1152,0.89,0.89
1153,0.19,0.19
1154,0.6,0.6
1155,0.62,0.62
1156,0.51,0.51
1157,0.6,0.6
1158,0.83,0.83
1159,0.18,0.18
1160,0.63,0.63
1161,0.56,0.56
1162,0.5,0.5
1163,0.5,0.5
1164,0.03,0.03
1165,0.96,0.96
1166,0.88,0.88
1167,0.38,0.38
1168,0.86,0.86
1169,0.14,0.14
1170,0.0,0.0
1171,0.8,0.8
1172,0.56,0.56
1173,0.19,0.19
1174,0.91,0.91
1175,0.79,0.79
1176,0.08,0.08
1177,0.27,0.27
1178,0.15,0.15
1179,0.25,0.25
1180,0.56,0.56
1181,0.46,0.46
1182,0.17,0.17
1183,0.6,0.6
1184,0.65,0.65
1185,0.14,0.14
1186,0.91,0.91
1187,0.39,0.39
1188,0.5,0.5
1189,0.51,0.51
1190,0.27,0.27
1191,0.74,0.74
1192,0.72,0.72
1193,0.83,0.83
1194,0.35,0.35
1195,0.96,0.96
1196,0.31,0.31
1197,0.75,0.75
1198,0.12,0.12
1199,0.55,0.55
1200,0.72,0.72
1201,0.13,0.13
1202,0.06,0.06
1203,0.72,0.72
1204,0.44,0.44
1205,0.58,0.58
1206,0.46,0.46
1207,0.24,0.24
1208,0.09,0.09
1209,0.46,0.46
1210,0.84,0.84
1211,0.28,0.28
1212,0.48,0.48
1213,0.74,0.74
1214,0.03,0.03
1215,0.12,0.12
1216,0.41,0.41
1217,0.34,0.34
1218,0.63,0.63
1219,0.75,0.75
1220,0.52,0.52
1221,0.81,0.81
1222,0.55,0.55
1223,0.79,0.79
1224,0.95,0.95
1225,0.49,0.49
1226,0.04,0.04
1227,0.47,0.47
1228,0.08,0.08
1229,0.25,0.25
1230,0.58,0.58
1231,0.62,0.62
1232,0.65,0.65
1233,0.93,0.93
1234,0.27,0.27
1235,0.35,0.35
1236,0.54,0.54
1237,0.07,0.07
1238,0.39,0.39
1239,0.94,0.94
1240,0.68,0.68
1241,0.51,0.51
1242,0.89,0.89
1243,0.97,0.97
1244,0.94,0.94
1245,0.77,0.77
1246,0.44,0.44
1247,0.06,0.06
1248,0.74,0.74
1249,0.93,0.93
1250,0.04,0.04
1251,0.36,0.36
1252,0.11,0.11
1253,0.96,0.96
1254,0.96,0.96
1255,0.42,0.42
1256,0.09,0.09
1257,0.13,0.13
1258,0.94,0.94
1259,0.66,0.66
1260,0.11,0.11
1261,0.95,0.95
1262,0.75,0.75
1263,0.79,0.79
1264,0.03,0.03
1265,0.53,0.53
1266,0.79,0.79
1267,0.43,0.43
1268,0.11,0.11
1269,0.35,0.35
1270,0.9,0.9
1271,0.01,0.01
1272,0.24,0.24
1273,0.49,0.49
1274,0.27,0.27
1275,0.21,0.21
1276,0.62,0.62
1277,0.96,0.96
1278,0.51,0.51
1279,0.78,0.78
1280,0.27,0.27
1281,0.3,0.3
1282,0.84,0.84
1283,0.03,0.03
1284,0.76,0.76
1285,0.38,0.38
1286,0.11,0.11
1287,0.08,0.08
1288,0.77,0.77
1289,0.26,0.26
1290,0.02,0.02
1291,0.62,0.62
1292,0.34,0.34
1293,0.52,0.52
1294,0.61,0.61
1295,0.56,0.56
1296,0.03,0.03
1297,0.34,0.34
1298,0.19,0.19
1299,0.01,0.01
1300,0.99,0.99
1301,0.02,0.02
1302,0.75,0.75
1303,0.89,0.89
1304,0.09,0.09
1305,0.5,0.5
1306,0.17,0.17
1307,0.77,0.77
1308,0.36,0.36
1309,0.33,0.33
1310,0.99,0.99
1311,0.54,0.54
1312,0.23,0.23
1313,0.52,0.52
1314,0.91,0.91
1315,0.63,0.63
1316,0.01,0.01
1317,0.91,0.91
1318,0.42,0.42
1319,0.25,0.25
1320,0.48,0.48
1321,0.7,0.7
1322,0.49,0.49
1323,0.37,0.37
1324,0.38,0.38
1325,0.38,0.38
1326,0.24,0.24
1327,0.92,0.92
1328,0.07,0.07
1329,0.08,0.08
1330,0.31,0.31
1331,0.81,0.81
1332,0.71,0.71
1333,0.71,0.71
1334,0.55,0.55
1335,0.93,0.93
1336,0.23,0.23
1337,0.37,0.37
1338,0.68,0.68
1339,0.63,0.63
1340,0.38,0.38
1341,0.85,0.85
1342,0.95,0.95
1343,0.18,0.18
1344,0.83,0.83
1345,0.42,0.42
1346,0.3,0.3
1347,0.45,0.45
1348,0.06,0.06
1349,0.15,0.15
1350,0.91,0.91
1351,0.83,0.83
1352,0.91,0.91
1353,0.67,0.67
1354,0.84,0.84
1355,0.37,0.37
1356,0.46,0.46
1357,0.44,0.44
1358,0.16,0.16
1359,0.88,0.88
1360,0.21,0.21
