1.0.0.023,1.0.1.041
'Furnace RunTime Fraction','Furnace Fan Part-Load Ratio'
'Gas Absorption Chiller Chilled Water Flow Rate','Chiller Evap Water Mass Flow Rate'
'Gas Absorption Chiller Chilled Water Return Temperature','Chiller Evap Water Inlet Temp'
'Gas Absorption Chiller Chilled Water Supply Temperature','Chiller Evap Water Outlet Temp'
'Gas Absorption Chiller Condenser Energy','Chiller Cond Heat Trans'
'Gas Absorption Chiller Condenser Rate','Chiller Cond Heat Trans Rate'
'Gas Absorption Chiller Condenser Water Flow Rate','Chiller Cond Water Mass Flow Rate'
'Gas Absorption Chiller Cooling Energy','Chiller Evap Heat Trans'
'Gas Absorption Chiller Cooling Rate','Chiller Evap Heat Trans Rate'
'Gas Absorption Chiller Electric Consumption','Chiller Electric Consumption'
'Gas Absorption Chiller Electric Power','Chiller Electric Power'
'Gas Absorption Chiller Entering Condenser Water Temperature','Chiller Cond Water Inlet Temp'
'Gas Absorption Chiller Gas Consumption','Chiller Gas Consumption'
'Gas Absorption Chiller Gas Consumption Rate','Chiller Gas Consumption Rate'
'Gas Absorption Chiller Hot Water Flow Rate','Gas Absorption Chiller Hot Water Mass Flow Rate'
'Gas Absorption Chiller Hot Water Return Temperature','Gas Absorption Chiller Hot Water Inlet Temp'
'Gas Absorption Chiller Hot Water Supply Temperature','Gas Absorption Chiller Hot Water Outlet Temp'
'Gas Absorption Chiller Leaving Condenser Water Temperature','Chiller Cond Water Outlet Temp'
'Gas Turbine Chiller Cond Heat Trans','Chiller Cond Heat Trans'
'Gas Turbine Chiller Cond Heat Trans Rate','Chiller Cond Heat Trans Rate'
'Gas Turbine Chiller Cond Water Inlet Temp','Chiller Cond Water Inlet Temp'
'Gas Turbine Chiller Cond Water Mass Flow Rate','Chiller Cond Water Mass Flow Rate'
'Gas Turbine Chiller Cond Water Outlet Temp','Chiller Cond Water Outlet Temp'
'Gas Turbine Chiller Energy','Chiller Shaft Energy'
'Gas Turbine Chiller Evap Heat Trans','Chiller Evap Heat Trans'
'Gas Turbine Chiller Evap Heat Trans Rate','Chiller Evap Heat Trans Rate'
'Gas Turbine Chiller Evap Water Inlet Temp','Chiller Evap Water Inlet Temp'
'Gas Turbine Chiller Evap Water Mass Flow Rate','Chiller Evap Water Mass Flow Rate'
'Gas Turbine Chiller Evap Water Outlet Temp','Chiller Evap Water Outlet Temp'
'Gas Turbine Chiller Exhaust Stack Temp','Chiller Exhaust Stack Temp'
'Gas Turbine Chiller Fuel Consumption','Chiller Gas Consumption'
'Gas Turbine Chiller Fuel Consumption Rate','Chiller Gas Consumption Rate'
'Gas Turbine Chiller Fuel Mass Consumption','Chiller Gas Mass Consumption'
'Gas Turbine Chiller Fuel Mass Consumption Rate','Chiller Gas Mass Flow Rate'
'Gas Turbine Chiller Heat Recovered Lubricant Energy','Chiller Lube Heat Recovery'
'Gas Turbine Chiller Heat Recovery Inlet Temp','Chiller Heat Recovery Inlet Temp'
'Gas Turbine Chiller Heat Recovery Mass Flow Rate','Chiller Heat Recovery Mass Flow Rate'
'Gas Turbine Chiller Heat Recovery Outlet Temp','Chiller Heat Recovery Outlet Temp'
'Gas Turbine Chiller Power','Chiller Shaft Power'
'GT Gen. Energy','Generator Electric Energy Produced'
'GT Gen. Exhaust Energy Recovered','Generator Exhaust Heat Recovery'
'GT Gen. Exhaust Heat Recovered','Generator Exhaust Heat Recovery Rate'
'GT Gen. Exhaust Stack Temp','Generator Exhaust Stack Temp'
'GT Gen. Fuel Energy Use rate','Generator Gas Consumption Rate'
'GT Gen. Fuel Energy Used','Generator Gas Consumption'
'GT Gen. Fuel Used','Generator Gas Mass Flow Rate'
'GT Gen. Heat Rec. Inlet Temp','Generator Heat Recovery Inlet Temp'
'GT Gen. Heat Rec. Mass Flow','Generator Heat Recovery Mass Flow Rate'
'GT Gen. Heat Rec. Outlet Temp','Generator Heat Recovery Outlet Temp'
'GT Gen. Lube Energy Recovered','Generator Lube Heat Recovery'
'GT Gen. Lube Heat Recovered','Generator Lube Heat Recovery Rate'
'GT Gen. Power','Generator Electric Power Produced'
'GT Gen. Total Energy Recovered','Generator Total Heat Recovery'
'GT Gen. Total Heat Recovered','Generator Total Heat Recovery Rate'
'SimAir Iterations','Max SimAir Iterations'
'Single-Speed Tower Fan Electric Consumption','Tower Fan Electric Consumption'
'Single-Speed Tower Fan Electric Power','Tower Fan Electric Power'
'Single-Speed Tower Heat Transfer','Tower Heat Transfer'
'Single-Speed Tower Water Inlet Temp','Tower Water Inlet Temp'
'Single-Speed Tower Water Mass Flow Rate','Tower Water Mass Flow Rate'
'Single-Speed Tower Water Outlet Temp','Tower Water Outlet Temp'
'Two-Speed Tower Fan Electric Consumption','Tower Fan Electric Consumption'
'Two-Speed Tower Fan Electric Power','Tower Fan Electric Power'
'Two-Speed Tower Heat Transfer','Tower Heat Transfer'
'Two-Speed Tower Water Inlet Temp','Tower Water Inlet Temp'
'Two-Speed Tower Water Mass Flow Rate','Tower Water Mass Flow Rate'
'Two-Speed Tower Water Outlet Temp','Tower Water Outlet Temp'
'Unitary System RunTime Fraction','Unitary System Fan Part-Load Ratio'
'Variable Speed Pump Energy','Pump Electric Consumption'
'Variable Speed Pump Heat To Fluid','Pump Heat To Fluid'
'Variable Speed Pump Mass Flow Rate','Pump Mass Flow Rate'
'Variable Speed Pump Outlet Temp','Pump Outlet Temp'
'Variable Speed Pump Power','Pump Electric Power'
'Variable Speed Pump Shaft Power','Pump Shaft Power'
'WaterHeater Desired Flow','<DELETE>'
'WaterHeater Energy In','WaterHeater Burner Heating Rate'
'WaterHeater Energy Lost','WaterHeater Heat Recovery Loss Rate'
'WaterHeater Heat Recovered','WaterHeater Heat Recovery Used Rate'
'WaterHeater Heating Demand','WaterHeater Burner Heating Demand'
'WaterHeater Source Supply','WaterHeater Heat Recovery Supply Rate'
'WaterHeater Use Demand','WaterHeater Use Side Demand'
'Window AC Compressor RunTime Fraction','Window AC Compressor Part-Load Ratio'
'Window AC Fan RunTime Fraction','Window AC Fan Part-Load Ratio'
'Window AC Latent Cooling Energy','Window AC Latent Zone Cooling Energy'
'Window AC Latent Cooling Rate','Window AC Latent Zone Cooling Rate'
'Window AC Sensible Cooling Energy','Window AC Sensible Zone Cooling Energy'
'Window AC Sensible Cooling Rate','Window AC Sensible Zone Cooling Rate'
'Window AC Total Cooling Energy','Window AC Total Zone Cooling Energy'
'Window AC Total Cooling Rate','Window AC Total Zone Cooling Rate'
'Window Shading Status','Fraction of Time Shading Device Is On'
