9.3.0,9.4.0,Transition notes - some of these are EMS variable names,,,,,,
Generator FuelOil#2 Energy,Generator FuelOilNo2 Energy,,,,,,,
Generator FuelOil#2 Mass Flow Rate,Generator FuelOilNo2 Mass Flow Rate,,,,,,,
Generator FuelOil#1 HHV Basis Rate,Generator FuelOilNo1 HHV Basis Rate,,,,,,,
Generator FuelOil#1 HHV Basis Energy,Generator FuelOilNo1 HHV Basis Energy,,,,,,,
Generator FuelOil#2 HHV Basis Rate,Generator FuelOilNo2 HHV Basis Rate,,,,,,,
Generator FuelOil#2 HHV Basis Energy,Generator FuelOilNo2 HHV Basis Energy,,,,,,,
FuelOil#2Emissions:Source,FuelOilNo2Emissions:Source,,,,,,,
FuelOil#2Emissions:CO2,FuelOilNo2Emissions:CO2,,,,,,,
FuelOil#2Emissions:CO,FuelOilNo2Emissions:CO,,,,,,,
FuelOil#2Emissions:CH4,FuelOilNo2Emissions:CH4,,,,,,,
FuelOil#2Emissions:NOx,FuelOilNo2Emissions:NOx,,,,,,,
FuelOil#2Emissions:N2O,FuelOilNo2Emissions:N2O,,,,,,,
FuelOil#2Emissions:SO2,FuelOilNo2Emissions:SO2,,,,,,,
FuelOil#2Emissions:PM,FuelOilNo2Emissions:PM,,,,,,,
FuelOil#2Emissions:PM10,FuelOilNo2Emissions:PM10,,,,,,,
FuelOil#2Emissions:PM2.5,FuelOilNo2Emissions:PM2.5,,,,,,,
FuelOil#2Emissions:NH3,FuelOilNo2Emissions:NH3,,,,,,,
FuelOil#2Emissions:NMVOC,FuelOilNo2Emissions:NMVOC,,,,,,,
FuelOil#2Emissions:Hg,FuelOilNo2Emissions:Hg,,,,,,,
FuelOil#2Emissions:Pb,FuelOilNo2Emissions:Pb,,,,,,,
FuelOil#2Emissions:WaterEnvironmentalFactors,FuelOilNo2Emissions:WaterEnvironmentalFactors,,,,,,,
FuelOil#2Emissions:Nuclear High,FuelOilNo2Emissions:Nuclear High,,,,,,,
FuelOil#2Emissions:Nuclear Low,FuelOilNo2Emissions:Nuclear Low,,,,,,,
FuelOil#1Emissions:Source,FuelOilNo1Emissions:Source,,,,,,,
FuelOil#1Emissions:CO2,FuelOilNo1Emissions:CO2,,,,,,,
FuelOil#1Emissions:CO,FuelOilNo1Emissions:CO,,,,,,,
FuelOil#1Emissions:CH4,FuelOilNo1Emissions:CH4,,,,,,,
FuelOil#1Emissions:NOx,FuelOilNo1Emissions:NOx,,,,,,,
FuelOil#1Emissions:N2O,FuelOilNo1Emissions:N2O,,,,,,,
FuelOil#1Emissions:SO2,FuelOilNo1Emissions:SO2,,,,,,,
FuelOil#1Emissions:PM,FuelOilNo1Emissions:PM,,,,,,,
FuelOil#1Emissions:PM10,FuelOilNo1Emissions:PM10,,,,,,,
FuelOil#1Emissions:PM2.5,FuelOilNo1Emissions:PM2.5,,,,,,,
FuelOil#1Emissions:NH3,FuelOilNo1Emissions:NH3,,,,,,,
FuelOil#1Emissions:NMVOC,FuelOilNo1Emissions:NMVOC,,,,,,,
FuelOil#1Emissions:Hg,FuelOilNo1Emissions:Hg,,,,,,,
FuelOil#1Emissions:Pb,FuelOilNo1Emissions:Pb,,,,,,,
FuelOil#1Emissions:WaterEnvironmentalFactors,FuelOilNo1Emissions:WaterEnvironmentalFactors,,,,,,,
FuelOil#1Emissions:Nuclear High,FuelOilNo1Emissions:Nuclear High,,,,,,,
FuelOil#1Emissions:Nuclear Low,FuelOilNo1Emissions:Nuclear Low,,,,,,,
Environmental Impact Fuel Oil #2 CO2 Emissions Mass,Environmental Impact FuelOilNo2 CO2 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 Source Energy,Environmental Impact FuelOilNo2 Source Energy,,,,,,,
Environmental Impact Fuel Oil #2 CO2 Emissions Mass,Environmental Impact FuelOilNo2 CO2 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 CO Emissions Mass,Environmental Impact FuelOilNo2 CO Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 CH4 Emissions Mass,Environmental Impact FuelOilNo2 CH4 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 NOx Emissions Mass,Environmental Impact FuelOilNo2 NOx Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 N2O Emissions Mass,Environmental Impact FuelOilNo2 N2O Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 SO2 Emissions Mass,Environmental Impact FuelOilNo2 SO2 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 PM Emissions Mass,Environmental Impact FuelOilNo2 PM Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 PM10 Emissions Mass,Environmental Impact FuelOilNo2 PM10 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 PM2.5 Emissions Mass,Environmental Impact FuelOilNo2 PM2.5 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 NH3 Emissions Mass,Environmental Impact FuelOilNo2 NH3 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 NMVOC Emissions Mass,Environmental Impact FuelOilNo2 NMVOC Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 Hg Emissions Mass,Environmental Impact FuelOilNo2 Hg Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 Pb Emissions Mass,Environmental Impact FuelOilNo2 Pb Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #2 Water Consumption Volume,Environmental Impact FuelOilNo2 Water Consumption Volume,,,,,,,
Environmental Impact Fuel Oil #2 Nuclear High Level Waste Mass,Environmental Impact FuelOilNo2 Nuclear High Level Waste Mass,,,,,,,
Environmental Impact Fuel Oil #2 Nuclear Low Level Waste Volume,Environmental Impact FuelOilNo2 Nuclear Low Level Waste Volume,,,,,,,
Environmental Impact Fuel Oil #1 Source Energy,Environmental Impact FuelOilNo1 Source Energy,,,,,,,
Environmental Impact Fuel Oil #1 CO2 Emissions Mass,Environmental Impact FuelOilNo1 CO2 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 CO Emissions Mass,Environmental Impact FuelOilNo1 CO Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 CH4 Emissions Mass,Environmental Impact FuelOilNo1 CH4 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 NOx Emissions Mass,Environmental Impact FuelOilNo1 NOx Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 N2O Emissions Mass,Environmental Impact FuelOilNo1 N2O Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 SO2 Emissions Mass,Environmental Impact FuelOilNo1 SO2 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 PM Emissions Mass,Environmental Impact FuelOilNo1 PM Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 PM10 Emissions Mass,Environmental Impact FuelOilNo1 PM10 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 PM2.5 Emissions Mass,Environmental Impact FuelOilNo1 PM2.5 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 NH3 Emissions Mass,Environmental Impact FuelOilNo1 NH3 Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 NMVOC Emissions Mass,Environmental Impact FuelOilNo1 NMVOC Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 Hg Emissions Mass,Environmental Impact FuelOilNo1 Hg Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 Pb Emissions Mass,Environmental Impact FuelOilNo1 Pb Emissions Mass,,,,,,,
Environmental Impact Fuel Oil #1 Water Consumption Volume,Environmental Impact FuelOilNo1 Water Consumption Volume,,,,,,,
Environmental Impact Fuel Oil #1 Nuclear High Level Waste Mass,Environmental Impact FuelOilNo1 Nuclear High Level Waste Mass,,,,,,,
Environmental Impact Fuel Oil #1 Nuclear Low Level Waste Volume,Environmental Impact FuelOilNo1 Nuclear Low Level Waste Volume,,,,,,,
Baseboard Electric Energy,Baseboard Electricity Energy,,,,,,,
Baseboard Electric Power,Baseboard Electricity Rate,,,,,,,
Boiler Electric Power,Boiler Electricity Rate,,,,,,,
Boiler Electric Energy,Boiler Electricity Energy,,,,,,,
Boiler Ancillary Electric Power,Boiler Ancillary Electricity Rate,,,,,,,
Boiler Ancillary Electric Energy,Boiler Ancillary Electricity Energy,,,,,,,
Generator Produced Electric Power,Generator Produced AC Electricity Rate,,,,,,,
Generator Produced Electric Energy,Generator Produced AC Electricity Energy,,,,,,,
Chiller Electric Power,Chiller Electricity Rate,,,,,,,
Chiller Electric Energy,Chiller Electricity Energy,,,,,,,
Chiller Condenser Fan Electric Power,Chiller Condenser Fan Electricity Rate,,,,,,,
Chiller Condenser Fan Electric Energy,Chiller Condenser Fan Electricity Energy,,,,,,,
Chiller Basin Heater Electric Power,Chiller Basin Heater Electricity Rate,,,,,,,
Chiller Basin Heater Electric Energy,Chiller Basin Heater Electricity Energy,,,,,,,
Chiller Heater Electric Power,Chiller Heater Electricity Rate,,,,,,,
Chiller Heater Electric Energy,Chiller Heater Electricity Energy,,,,,,,
Chiller Heater Cooling Electric Power,Chiller Heater Cooling Electricity Rate,,,,,,,
Chiller Heater Cooling Electric Energy,Chiller Heater Cooling Electricity Energy,,,,,,,
Chiller Heater Heating Electric Power,Chiller Heater Heating Electricity Rate,,,,,,,
Chiller Heater Heating Electric Energy,Chiller Heater Heating Electricity Energy,,,,,,,
Cooling Coil Electric Power,Cooling Coil Electricity Rate,,,,,,,
Cooling Coil Electric Energy,Cooling Coil Electricity Energy,,,,,,,
Cooling Coil Crankcase Heater Electric Power,Cooling Coil Crankcase Heater Electricity Rate,,,,,,,
Cooling Coil Crankcase Heater Electric Energy,Cooling Coil Crankcase Heater Electricity Energy,,,,,,,
Cooling Coil Basin Heater Electric Power,Cooling Coil Basin Heater Electricity Rate,,,,,,,
Cooling Coil Basin Heater Electric Energy,Cooling Coil Basin Heater Electricity Energy,,,,,,,
Cooling Coil Evaporative Condenser Pump Electric Power,Cooling Coil Evaporative Condenser Pump Electricity Rate,,,,,,,
Cooling Coil Evaporative Condenser Pump Electric Energy,Cooling Coil Evaporative Condenser Pump Electricity Energy,,,,,,,
Cooling Tower Fan Electric Power,Cooling Tower Fan Electricity Rate,,,,,,,
Cooling Tower Fan Electric Energy,Cooling Tower Fan Electricity Energy,,,,,,,
Cooling Tower Basin Heater Electric Power,Cooling Tower Basin Heater Electricity Rate,,,,,,,
Cooling Tower Basin Heater Electric Energy,Cooling Tower Basin Heater Electricity Energy,,,,,,,
Zone Cooltower Pump Electric Power,Zone Cooltower Pump Electricity Rate,,,,,,,
Zone Cooltower Pump Electric Energy,Zone Cooltower Pump Electricity Energy,,,,,,,
Heating Coil Electric Power,Heating Coil Electricity Rate,,,,,,,
Heating Coil Electric Energy,Heating Coil Electricity Energy,,,,,,,
Heating Coil Defrost Electric Power,Heating Coil Defrost Electricity Rate,,,,,,,
Heating Coil Crankcase Heater Electric Power,Heating Coil Crankcase Heater Electricity Rate,,,,,,,
Heating Coil Crankcase Heater Electric Energy,Heating Coil Crankcase Heater Electricity Energy,,,,,,,
Cooling Coil Water Heating Electric Power,Cooling Coil Water Heating Electricity Rate,,,,,,,
Cooling Coil Water Heating Electric Energy,Cooling Coil Water Heating Electricity Energy,,,,,,,
Dehumidifier Electric Power,Dehumidifier Electricity Rate,,,,,,,
Dehumidifier Electric Energy,Dehumidifier Electricity Energy,,,,,,,
Dehumidifier Exhaust Fan Electric Power,Dehumidifier Exhaust Fan Electricity Rate,,,,,,,
Dehumidifier Exhaust Fan Electric Energy,Dehumidifier Exhaust Fan Electricity Energy,,,,,,,
Earth Tube Fan Electric Energy,Earth Tube Fan Electricity Energy,,,,,,,
Earth Tube Fan Electric Power,Earth Tube Fan Electricity Rate,,,,,,,
Gas:Facility,NaturalGas:Facility,,,,,,,
Gas:Building,NaturalGas:Building,,,,,,,
Gas:Plant,NaturalGas:Plant,,,,,,,
Gas:HVAC,NaturalGas:HVAC,,,,,,,
Facility Total Purchased Electric Power,Facility Total Purchased Electricity Rate,,,,,,,
Facility Total Purchased Electric Energy,Facility Total Purchased Electricity Energy,,,,,,,
Facility Total Surplus Electric Power,Facility Total Surplus Electricity Rate,,,,,,,
Facility Total Surplus Electric Energy,Facility Total Surplus Electricity Energy,,,,,,,
Facility Net Purchased Electric Power,Facility Net Purchased Electricity Rate,,,,,,,
Facility Net Purchased Electric Energy,Facility Net Purchased Electricity Energy,,,,,,,
Facility Total Building Electric Demand Power,Facility Total Building Electricity Demand Rate,,,,,,,
Facility Total HVAC Electric Demand Power,Facility Total HVAC Electricity Demand Rate,,,,,,,
Facility Total Electric Demand Power,Facility Total Electricity Demand Rate,,,,,,,
Facility Total Produced Electric Power,Facility Total Produced Electricity Rate,,,,,,,
Facility Total Produced Electric Energy,Facility Total Produced Electricity Energy,,,,,,,
Electric Load Center Produced Electric Power,Electric Load Center Produced Electricity Rate,,,,,,,
Electric Load Center Produced Electric Energy,Electric Load Center Produced Electricity Energy,,,,,,,
Electric Load Center Supplied Electric Power,Electric Load Center Supplied Electricity Rate,,,,,,,
Electric Load Center Drawn Electric Power,Electric Load Center Drawn Electricity Rate,,,,,,,
Electric Load Center Requested Electric Power,Electric Load Center Requested Electricity Rate,,,,,,,
Generator Requested Electric Power,Generator Requested Electricity Rate,,,,,,,
Inverter DC Input Electric Power,Inverter DC Input Electricity Rate,,,,,,,
Inverter DC Input Electric Energy,Inverter DC Input Electricity Energy,,,,,,,
Inverter AC Output Electric Power,Inverter AC Output Electricity Rate,,,,,,,
Inverter AC Output Electric Energy,Inverter AC Output Electricity Energy,,,,,,,
Inverter Ancillary AC Electric Power,Inverter Ancillary AC Electricity Rate,,,,,,,
Inverter Ancillary AC Electric Energy,Inverter Ancillary AC Electricity Energy,,,,,,,
Converter AC Input Electric Power,Converter AC Input Electricity Rate,,,,,,,
Converter AC Input Electric Energy,Converter AC Input Electricity Energy,,,,,,,
Converter DC Output Electric Power,Converter DC Output Electricity Rate,,,,,,,
Converter DC Output Electric Energy,Converter DC Output Electricity Energy,,,,,,,
Converter Electric Loss Power,Converter Electricity Loss Rate,,,,,,,
Converter Electric Loss Energy,Converter Electricity Loss Energy,,,,,,,
Converter Electric Loss Decrement Energy,Converter Electricity Loss Decrement Energy,,,,,,,
Converter Ancillary AC Electric Power,Converter Ancillary AC Electricity Rate,,,,,,,
Converter Ancillary AC Electric Energy,Converter Ancillary AC Electricity Energy,,,,,,,
Transformer Input Electric Power,Transformer Input Electricity Rate,,,,,,,
Transformer Input Electric Energy,Transformer Input Electricity Energy,,,,,,,
Transformer Output Electric Power,Transformer Output Electricity Rate,,,,,,,
Transformer Output Electric Energy,Transformer Output Electricity Energy,,,,,,,
Transformer Distribution Electric Loss Energy,Transformer Distribution Electricity Loss Energy,,,,,,,
Transformer Cogeneration Electric Loss Energy,Transformer Cogeneration Electricity Loss Energy,,,,,,,
Transformer Conversion Electric Loss Energy,Transformer Conversion Electricity Loss Energy,,,,,,,
Evaporative Cooler Electric Energy,Evaporative Cooler Electricity Energy,,,,,,,
Evaporative Cooler Electric Power,Evaporative Cooler Electricity Rate,,,,,,,
Exterior Lights Electric Power,Exterior Lights Electricity Rate,,,,,,,
Exterior Lights Electric Energy,Exterior Lights Electricity Energy,,,,,,,
Fan Coil Fan Electric Power,Fan Coil Fan Electricity Rate,,,,,,,
Fan Coil Fan Electric Energy,Fan Coil Fan Electricity Energy,,,,,,,
Fan Electric Power,Fan Electricity Rate,,,,,,,
Fan Electric Energy,Fan Electricity Energy,,,,,,,
Generator Blower Electric Power,Generator Blower Electricity Rate,,,,,,,
Generator Blower Electric Energy,Generator Blower Electricity Energy,,,,,,,
Generator Fuel Compressor Electric Power,Generator Fuel Compressor Electricity Rate,,,,,,,
Generator Fuel Compressor Electric Energy,Generator Fuel Compressor Electricity Energy,,,,,,,
Generator Fuel Reformer Water Pump Electric Power,Generator Fuel Reformer Water Pump Electricity Rate,,,,,,,
Generator Fuel Reformer Water Pump Electric Energy,Generator Fuel Reformer Water Pump Electricity Energy,,,,,,,
Generator Produced DC Electric Power,Generator Produced DC Electricity Rate,,,,,,,
Generator Ancillary AC Electric Power,Generator Ancillary AC Electricity Rate,,,,,,,
Generator Ancillary AC Electric Energy,Generator Ancillary AC Electricity Energy,,,,,,,
Unitary System Ancillary Electric Power,Unitary System Ancillary Electricity Rate,,,,,,,
Unitary System Cooling Ancillary Electric Energy,Unitary System Cooling Ancillary Electricity Energy,,,,,,,
Unitary System Heating Ancillary Electric Energy,Unitary System Heating Ancillary Electricity Energy,,,,,,,
Unitary System Electric Power,Unitary System Electricity Rate,,,,,,,
Unitary System Electric Energy,Unitary System Electricity Energy,,,,,,,
Zone Ventilator Electric Power,Zone Ventilator Electricity Rate,,,,,,,
Zone Ventilator Electric Energy,Zone Ventilator Electricity Energy,,,,,,,
Zone VRF Air Terminal Cooling Electric Power,Zone VRF Air Terminal Cooling Electricity Rate,,,,,,,
Zone VRF Air Terminal Cooling Electric Energy,Zone VRF Air Terminal Cooling Electricity Energy,,,,,,,
Zone VRF Air Terminal Heating Electric Power,Zone VRF Air Terminal Heating Electricity Rate,,,,,,,
Zone VRF Air Terminal Heating Electric Energy,Zone VRF Air Terminal Heating Electricity Energy,,,,,,,
VRF Heat Pump Cooling Electric Power,VRF Heat Pump Cooling Electricity Rate,,,,,,,
VRF Heat Pump Cooling Electric Energy,VRF Heat Pump Cooling Electricity Energy,,,,,,,
VRF Heat Pump Heating Electric Power,VRF Heat Pump Heating Electricity Rate,,,,,,,
VRF Heat Pump Heating Electric Energy,VRF Heat Pump Heating Electricity Energy,,,,,,,
VRF Heat Pump Compressor Electric Power,VRF Heat Pump Compressor Electricity Rate,,,,,,,
VRF Heat Pump Defrost Electric Power,VRF Heat Pump Defrost Electricity Rate,,,,,,,
VRF Heat Pump Defrost Electric Energy,VRF Heat Pump Defrost Electricity Energy,,,,,,,
VRF Heat Pump Crankcase Heater Electric Power,VRF Heat Pump Crankcase Heater Electricity Rate,,,,,,,
VRF Heat Pump Crankcase Heater Electric Energy,VRF Heat Pump Crankcase Heater Electricity Energy,,,,,,,
VRF Heat Pump Evaporative Condenser Pump Electric Power,VRF Heat Pump Evaporative Condenser Pump Electricity Rate,,,,,,,
VRF Heat Pump Evaporative Condenser Pump Electric Energy,VRF Heat Pump Evaporative Condenser Pump Electricity Energy,,,,,,,
VRF Heat Pump Basin Heater Electric Power,VRF Heat Pump Basin Heater Electricity Rate,,,,,,,
VRF Heat Pump Basin Heater Electric Energy,VRF Heat Pump Basin Heater Electricity Energy,,,,,,,
Zone Combined Outdoor Air Fan Electric Energy,Zone Combined Outdoor Air Fan Electricity Energy,,,,,,,
Zone Ventilation Fan Electric Energy,Zone Ventilation Fan Electricity Energy,,,,,,,
Heat Pump Electric Power,Heat Pump Electricity Rate,,,,,,,
Heat Pump Electric Energy,Heat Pump Electricity Energy,,,,,,,
Heat Exchanger Electric Power,Heat Exchanger Electricity Rate,,,,,,,
Heat Exchanger Electric Energy,Heat Exchanger Electricity Energy,,,,,,,
Heating Coil Gas Energy,Heating Coil NaturalGas Energy,,,,,,,
Heating Coil Gas Rate,Heating Coil NaturalGas Rate,,,,,,,
Heating Coil Ancillary Gas Rate,Heating Coil Ancillary NaturalGas Rate,,,,,,,
Heating Coil Ancillary Gas Energy,Heating Coil Ancillary NaturalGas Energy,,,,,,,
Zone Radiant HVAC Gas Rate,Zone Radiant HVAC NaturalGas Rate,,,,,,,
Zone Radiant HVAC Gas Energy,Zone Radiant HVAC NaturalGas Energy,,,,,,,
Zone Radiant HVAC Electric Power,Zone Radiant HVAC Electricity Rate,,,,,,,
Zone Radiant HVAC Electric Energy,Zone Radiant HVAC Electricity Energy,,,,,,,
Humidifier Electric Power,Humidifier Electricity Rate,,,,,,,
Humidifier Electric Energy,Humidifier Electricity Energy,,,,,,,
Humidifier Gas Use Thermal Efficiency,Humidifier NaturalGas Use Thermal Efficiency,,,,,,,
Humidifier Gas Use Rate,Humidifier NaturalGas Rate,,,,,,,
Humidifier Gas Use Energy,Humidifier NaturalGas Energy,,,,,,,
Humidifier Auxiliary Electric Power,Humidifier Auxiliary Electricity Rate,,,,,,,
Humidifier Auxiliary Electric Energy,Humidifier Auxiliary Electricity Energy,,,,,,,
Zone Hybrid Unitary HVAC Electric Power,Zone Hybrid Unitary HVAC Electricity Rate,,,,,,,
Zone Hybrid Unitary HVAC Electric Energy,Zone Hybrid Unitary HVAC Electricity Energy,,,,,,,
Zone Hybrid Unitary HVAC Supply Fan Electric Power,Zone Hybrid Unitary HVAC Supply Fan Electricity Rate,,,,,,,
Zone Hybrid Unitary HVAC Supply Fan Electric Energy,Zone Hybrid Unitary HVAC Supply Fan Electricity Energy,,,,,,,
Ice Thermal Storage Ancillary Electric Power,Ice Thermal Storage Ancillary Electricity Rate,,,,,,,
Ice Thermal Storage Ancillary Electric Energy,Ice Thermal Storage Ancillary Electricity Energy,,,,,,,
Zone Lights Electric Energy,Zone Lights Electricity Energy,,,,,,,
Zone Electric Equipment Electric Energy,Zone Electric Equipment Electricity Energy,,,,,,,
Boiler Gas Consumption,Boiler NaturalGas Consumption,,,,,,,
Boiler Gas Consumption Rate,Boiler NaturalGas Consumption Rate,,,,,,,
Zone Window Air Conditioner Electric Energy,Zone Window Air Conditioner Electricity Energy,,,,,,,
Zone Window Air Conditioner Electric Power,Zone Window Air Conditioner Electricity Rate,,,,,,,
Water Heater Gas Consumption,Water Heater NaturalGas Consumption,,,,,,,
Generator Gas Consumption,Generator NaturalGas Consumption,,,,,,,
Pump Electric Energy,Pump Electricity Energy,,,,,,,
Pump Electric Power,Pump Electricity Rate,,,,,,,
Air System Electric Energy,Air System Electricity Energy,,,,,,,
Air System Gas Energy,Air System Naturalgas Energy,,,,,,,
Air System Fan Electric Energy,Air System Fan Electricity Energy,,,,,,,
Air System DX Heating Coil Electric Energy,Air System DX Heating Coil Electricity Energy,,,,,,,
Air System DX Cooling Coil Electric Energy,Air System DX Cooling Coil Electricity Energy,,,,,,,
Air System Heating Coil Electric Energy,Air System Heating Coil Electricity Energy,,,,,,,
Air System Heating Coil Gas Energy,Air System Heating Coil NaturalGas Energy,,,,,,,
Air System Humidifier Electric Energy,Air System Humidifier Electricity Energy,,,,,,,
Air System Evaporative Cooler Electric Energy,Air System Evaporative Cooler Electricity Energy,,,,,,,
Air System Desiccant Dehumidifier Electric Energy,Air System Desiccant Dehumidifier Electricity Energy,,,,,,,
Integrated Heat Pump Electric Power,Integrated Heat Pump Electricity Rate,,,,,,,
Integrated Heat Pump Electric Energy,Integrated Heat Pump Electricity Energy,,,,,,,
Lights Electric Power,Lights Electricity Rate,,,,,,,
Lights Electric Energy,Lights Electricity Energy,,,,,,,
Zone Lights Electric Power,Zone Lights Electricity Rate,,,,,,,
Zone Lights Electric Energy,Zone Lights Electricity Energy,,,,,,,
Electric Equipment Electric Power,Electric Equipment Electricity Rate,,,,,,,
Electric Equipment Electric Energy,Electric Equipment Electricity Energy,,,,,,,
Zone Electric Equipment Electric Power,Zone Electric Equipment Electricity Rate,,,,,,,
Zone Electric Equipment Electric Energy,Zone Electric Equipment Electricity Energy,,,,,,,
Gas Equipment Gas Rate,Gas Equipment NaturalGas Rate,,,,,,,
Gas Equipment Gas Energy,Gas Equipment NaturalGas Energy,,,,,,,
Zone Gas Equipment Gas Rate,Zone Gas Equipment NaturalGas Rate,,,,,,,
Zone Gas Equipment Gas Energy,Zone Gas Equipment NaturalGas Energy,,,,,,,
ITE CPU Electric Power,ITE CPU Electricity Rate,,,,,,,
ITE Fan Electric Power,ITE Fan Electricity Rate,,,,,,,
ITE UPS Electric Power,ITE UPS Electricity Rate,,,,,,,
ITE CPU Electric Power at Design Inlet Conditions,ITE CPU Electricity Rate at Design Inlet Conditions,,,,,,,
ITE Fan Electric Power at Design Inlet Conditions,ITE Fan Electricity Rate at Design Inlet Conditions,,,,,,,
ITE CPU Electric Energy,ITE CPU Electricity Energy,,,,,,,
ITE Fan Electric Energy,ITE Fan Electricity Energy,,,,,,,
ITE UPS Electric Energy,ITE UPS Electricity Energy,,,,,,,
ITE CPU Electric Energy at Design Inlet Conditions,ITE CPU Electricity Energy at Design Inlet Conditions,,,,,,,
ITE Fan Electric Energy at Design Inlet Conditions,ITE Fan Electricity Energy at Design Inlet Conditions,,,,,,,
Zone ITE CPU Electric Power,Zone ITE CPU Electricity Rate,,,,,,,
Zone ITE Fan Electric Power,Zone ITE Fan Electricity Rate,,,,,,,
Zone ITE UPS Electric Power,Zone ITE UPS Electricity Rate,,,,,,,
Zone ITE CPU Electric Power at Design Inlet Conditions,Zone ITE CPU Electricity Rate at Design Inlet Conditions,,,,,,,
