7.2.0.006,8.0.0,Transition notes
Air Chiller Total Cooling Zone Credit Rate,Refrigeration Zone Air Chiller Zone Total Cooling Rate,
Air Chiller Water Removal,Refrigeration Zone Air Chiller Water Removed Mass Flow Rate,
Air Loop Chilled Water Consumption,Air System Chilled Water Energy,
Air Loop Cooling Coil Chilled Water Consumption,Air System Cooling Coil Chilled Water Energy,
Air Loop Desiccant Dehumidifier Electric Consumption,Air System Desiccant Dehumidifier Electric Energy,
Air Loop DX Cooling Coil Electric Consumption,Air System DX Cooling Coil Electric Energy,
Air Loop DX Heating Coil Electric Consumption,Air System DX Heating Coil Electric Energy,
Air Loop Electric Consumption,Air System Electric Energy,
Air Loop Evap Cooler Electric Consumption,Air System Evaporative Cooler Electric Energy,
Air Loop Fan Electric Consumption,Air System Fan Electric Energy,
Air Loop Fan Heating Energy,Air System Fan Air Heating Energy,
Air Loop Gas Consumption,Air System Gas Energy,
Air Loop Heating Coil Electric Consumption,Air System Heating Coil Electric Energy,
Air Loop Heating Coil Gas Consumption,Air System Heating Coil Gas Energy,
Air Loop Heating Coil Hot Water Consumption,Air System Heating Coil Hot Water Energy,
Air Loop Heating Coil Steam Consumption,Air System Heating Coil Steam Energy,
Air Loop Hot Water Consumption,Air System Hot Water Energy,
Air Loop Humidifier Electric Consumption,Air System Humidifier Electric Energy,
Air Loop Steam Consumption,Air System Steam Energy,
Air Loop System Cycle On/Off Status,Air System Simulation Cycle On Off Status,
Air Loop Total Cooling Coil Energy,Air System Cooling Coil Total Cooling Energy,
Air Loop Total Cooling Energy,Air System Total Cooling Energy,
Air Loop Total Desiccant Dehumidifier Cooling Energy,Air System Desiccant Dehumidifier Total Cooling Energy,
Air Loop Total Evap Cooler Cooling Energy,Air System Evaporative Cooler Total Cooling Energy,
Air Loop Total Heat Exchanger Cooling Energy,Air System Heat Exchanger Total Cooling Energy,
Air Loop Total Heat Exchanger Heating Energy,Air System Heat Exchanger Total Heating Energy,
Air Loop Total Heating Coil Energy,Air System Heating Coil Total Heating Energy,
Air Loop Total Heating Energy,Air System Total Heating Energy,
Air Loop Total Humidifier Heating Energy,Air System Humidifier Total Heating Energy,
Air Loop Total Solar Collector Cooling Energy,Air System Solar Collector Total Cooling Energy,
Air Loop Total Solar Collector Heating Energy,Air System Solar Collector Total Heating Energy,
Air Loop Total User Defined Terminal Cooling Energy,Air System User Defined Air Terminal Total Cooling Energy,
Air Loop Total User Defined Terminal Heating Energy,Air System User Defined Air Terminal Total Heating Energy,
Air Loop Water Consumption,Air System Water Volume,
AirflowNetwork Average Mass Flow Rate from Node 1 to 2,AFN Linkage Node 1 to 2 Average Mass Flow Rate,
AirflowNetwork Average Mass Flow Rate from Node 2 to 1,AFN Linkage Node 2 to 1 Average Mass Flow Rate,
AirflowNetwork Average Volume Flow Rate from Node 1 to 2,AFN Linkage Node 1 to 2 Average Volume Flow Rate,
AirflowNetwork Average Volume Flow Rate from Node 2 to 1,AFN Linkage Node 2 to 1 Average Volume Flow Rate,
AirflowNetwork Average Zone Pressure,AFN Zone Average Pressure,
AirflowNetwork Distribution Latent Gain,AFN Distribution Latent Heat Gain Energy,
AirflowNetwork Distribution Latent Gain Rate,AFN Distribution Latent Heat Gain Rate,
AirflowNetwork Distribution Latent Loss,AFN Distribution Latent Heat Loss Energy,
AirflowNetwork Distribution Latent Loss Rate,AFN Distribution Latent Heat Loss Rate,
AirflowNetwork Distribution Sensible Gain,AFN Distribution Sensible Heat Gain Energy,
AirflowNetwork Distribution Sensible Gain Rate,AFN Distribution Sensible Heat Gain Rate,
AirflowNetwork Distribution Sensible Loss,AFN Distribution Sensible Heat Loss Energy,
AirflowNetwork Distribution Sensible Loss Rate,AFN Distribution Sensible Heat Loss Rate,
AirflowNetwork Duct Conduction Sensible Gain,AFN Zone Duct Conduction Sensible Heat Gain Energy,
AirflowNetwork Duct Conduction Sensible Gain Rate,AFN Zone Duct Conduction Sensible Heat Gain Rate,
AirflowNetwork Duct Conduction Sensible Loss,AFN Zone Duct Conduction Sensible Heat Loss Energy,
AirflowNetwork Duct Conduction Sensible Loss Rate,AFN Zone Duct Conduction Sensible Heat Loss Rate,
AirflowNetwork Duct Diffusion Latent Gain,AFN Zone Duct Diffusion Latent Heat Gain Energy,
AirflowNetwork Duct Diffusion Latent Gain Rate,AFN Zone Duct Diffusion Latent Heat Gain Rate,
AirflowNetwork Duct Diffusion Latent Loss,AFN Zone Duct Diffusion Latent Heat Loss Energy,
AirflowNetwork Duct Diffusion Latent Loss Rate,AFN Zone Duct Diffusion Latent Heat Loss Rate,
AirflowNetwork Duct Leak Latent Gain,AFN Zone Duct Leaked Air Latent Heat Gain Energy,
AirflowNetwork Duct Leak Latent Gain Rate,AFN Zone Duct Leaked Air Latent Heat Gain Rate,
AirflowNetwork Duct Leak Latent Loss,AFN Zone Duct Leaked Air Latent Heat Loss Energy,
AirflowNetwork Duct Leak Latent Loss Rate,AFN Zone Duct Leaked Air Latent Heat Loss Rate,
AirflowNetwork Duct Leak Sensible Gain,AFN Zone Duct Leaked Air Sensible Heat Gain Energy,
AirflowNetwork Duct Leak Sensible Gain Rate,AFN Zone Duct Leaked Air Sensible Heat Gain Rate,
AirflowNetwork Duct Leak Sensible Loss,AFN Zone Duct Leaked Air Sensible Heat Loss Energy,
AirflowNetwork Duct Leak Sensible Loss Rate,AFN Zone Duct Leaked Air Sensible Heat Loss Rate,
AirflowNetwork Infiltration Latent Gain,AFN Zone Infiltration Latent Heat Gain Energy,
AirflowNetwork Infiltration Latent Gain Rate,AFN Zone Infiltration Latent Heat Gain Rate,
AirflowNetwork Infiltration Latent Loss,AFN Zone Infiltration Latent Heat Loss Energy,
AirflowNetwork Infiltration Latent Loss Rate,AFN Zone Infiltration Latent Heat Loss Rate,
AirflowNetwork Infiltration Sensible Gain,AFN Zone Infiltration Sensible Heat Gain Energy,
AirflowNetwork Infiltration Sensible Gain Rate,AFN Zone Infiltration Sensible Heat Gain Rate,
AirflowNetwork Infiltration Sensible Loss,AFN Zone Infiltration Sensible Heat Loss Energy,
AirflowNetwork Infiltration Sensible Loss Rate,AFN Zone Infiltration Sensible Heat Loss Rate,
AirflowNetwork Linkage Pressure Difference,AFN Linkage Node 1 to Node 2 Pressure Difference,
AirflowNetwork Mass Flow Rate from Node 1 to 2,AFN Linkage Node 1 to Node 2 Mass Flow Rate,
AirflowNetwork Mass Flow Rate from Node 2 to 1,AFN Linkage Node 2 to Node 1 Mass Flow Rate,
AirflowNetwork Mixing Latent Gain,AFN Zone Mixing Latent Heat Gain Energy,
AirflowNetwork Mixing Latent Gain Rate,AFN Zone Mixing Latent Heat Gain Rate,
AirflowNetwork Mixing Latent Loss,AFN Zone Mixing Latent Heat Loss Energy,
AirflowNetwork Mixing Latent Loss Rate,AFN Zone Mixing Latent Heat Loss Rate,
AirflowNetwork Mixing Sensible Gain,AFN Zone Mixing Sensible Heat Gain Energy,
AirflowNetwork Mixing Sensible Gain Rate,AFN Zone Mixing Sensible Heat Gain Rate,
AirflowNetwork Mixing Sensible Loss,AFN Zone Mixing Sensible Heat Loss Energy,
AirflowNetwork Mixing Sensible Loss Rate,AFN Zone Mixing Sensible Heat Loss Rate,
AirflowNetwork Node Carbon Dioxide,AFN Node CO2 Concentration,
AirflowNetwork Node Generic Contaminant,AFN Node Generic Air Contaminant Concentration,
AirflowNetwork Node Humidity Ratio,AFN Node Humidity Ratio,
AirflowNetwork Node Temperature,AFN Node Temperature,
AirflowNetwork Node Total Pressure,AFN Node Total Pressure,
AirflowNetwork Surface Average Pressure Difference,AFN Surface Average Pressure Difference,
AirflowNetwork Surface Pressure Difference During OFF cycle,AFN Surface Off Cycle Pressure Difference,
AirflowNetwork Surface Pressure Difference During ON cycle,AFN Surface On Cycle Pressure Difference,
AirflowNetwork Volume Flow Rate from Node 1 to 2,AFN Linkage Node 1 to Node 2 Volume Flow Rate,
AirflowNetwork Volume Flow Rate from Node 2 to 1,AFN Linkage Node 2 to Node 1 Volume Flow Rate,
AirflowNetwork Wind Pressure,AFN Node Wind Pressure,
AirflowNetwork Zone Infiltration Air Change Rate,AFN Zone Infiltration Air Change Rate,
AirflowNetwork Zone Infiltration Mass,AFN Zone Infiltration Mass,
AirflowNetwork Zone Infiltration Volume,AFN Zone Infiltration Volume,
AirflowNetwork Zone Mixing CO2 Rate,AFN Zone Mixing CO2 Mass Flow Rate,
AirflowNetwork Zone Mixing Generic Contaminant Rate,AFN Zone Mixing Generic Air Contaminant Mass Flow Rate,
AirflowNetwork Zone Mixing Mass,AFN Zone Mixing Mass,
AirflowNetwork Zone Mixing Mass Rate,AFN Zone Mixing Mass Flow Rate,
AirflowNetwork Zone Mixing Volume,AFN Zone Mixing Volume,
AirflowNetwork Zone Outdoor CO2 Rate,AFN Zone Outdoor Air CO2 Mass Flow Rate,
AirflowNetwork Zone Outdoor Generic Contaminant Rate,AFN Zone Outdoor Air Generic Air Contaminant Mass Flow Rate,
AirflowNetwork Zone Outdoor Mass Rate,AFN Zone Outdoor Air Mass Flow Rate,
AirflowNetwork Zone Pressure During OFF cycle,AFN Zone Off Cycle Pressure,
AirflowNetwork Zone Pressure During ON cycle,AFN Zone On Cycle Pressure,
AirflowNetwork Zone Total CO2 Rate,AFN Zone Total CO2 Mass Flow Rate,
AirflowNetwork Zone Total Generic Contaminant Rate,AFN Zone Total Generic Air Contaminant Mass Flow Rate,
AirLoopHVAC Actual Outdoor Air Fraction,Air System Outdoor Air Flow Fraction,
AirLoopHVAC Heat Recovery Bypass Status,Air System Outdoor Air Heat Recovery Bypass Status,
AirLoopHVAC Heat Recovery Heating Coil Was Active Status,Air System Outdoor Air Heat Recovery Bypass Heating Coil Activity Status,
AirLoopHVAC Heat Recovery Mixed Air Temp at Min OA Flow,Air System Outdoor Air Heat Recovery Bypass Minimum Outdoor Air Mixed Air Temperature,
AirLoopHVAC Minimum Outdoor Air Fraction,Air System Outdoor Air Minimum Flow Fraction,
AirLoopHVAC Mixed Air Mass Flow Rate,Air System Mixed Air Mass Flow Rate,
AirLoopHVAC Outdoor Air Economizer Status,Air System Outdoor Air Economizer Status,
AirLoopHVAC Outdoor Air High Humidity Control Status,Air System Outdoor Air High Humidity Control Status,
AirLoopHVAC Outdoor Air Mass Flow Rate,Air System Outdoor Air Mass Flow Rate,
AirLoop-Zone Iterations,Air System Solver Iteration Count,
ASHRAE55 Adaptive Comfort Temperature,Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature,
ASHRAE55 Running Mean Outdoor Temperature,Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature,
ASHRAE55AdaptiveComfort at 80% Acceptability Limits,Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status,
ASHRAE55AdaptiveComfort at 90% Acceptability Limits,Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status,
Availability Manager High Temp Turn Off Control Status,Availability Manager High Temperature Turn Off Control Status,
Availability Manager High Temp Turn On Control Status,Availability Manager High Temperature Turn On Control Status,
Availability Manager Low Temp Turn Off Control Status,Availability Manager Low Temperature Turn Off Control Status,
Availability Manager Low Temp Turn On Control Status,Availability Manager Low Temperature Turn On Control Status,
Availability Manager ScheduledOff Control Status,Availability Manager Scheduled Off Control Status,
Availability Manager ScheduledOn Control Status,Availability Manager Scheduled On Control Status,
Baseboard Convective System Impact Energy,Baseboard Total Heating Energy,
Baseboard Convective System Impact Rate,Baseboard Total Heating Rate,
BaseBoard Electric Consumption,Baseboard Electric Energy,
BaseBoard Electric Power,Baseboard Electric Power,
Baseboard Heat Convective Heat Gain,Baseboard Convective Heating Energy,
Baseboard Heat Convective Heat Gain Rate,Baseboard Convective Heating Rate,
Baseboard Heat Electric Consumption,Baseboard Electric Energy,
Baseboard Heat Electric Power,Baseboard Electric Power,
Baseboard Heat Radiant Heat Gain,Baseboard Radiant Heating Energy,
Baseboard Heat Radiant Heat Gain Rate,Baseboard Radiant Heating Rate,
Baseboard Heat Total Heat Gain,Baseboard Total Heating Energy,
Baseboard Heat Total Heat Gain Rate,Baseboard Total Heating Rate,
Baseboard Heating Energy,Baseboard Total Heating Energy,
Baseboard Heating Rate,Baseboard Total Heating Rate, 
Baseboard Hot Water Consumption,Baseboard Hot Water Energy,
Baseboard Steam Consumption,Baseboard Steam Energy,
Baseboard steam Outlet Temperature,Baseboard Steam Outlet Temperature,
Baseboard Water Mass Flow Rate,Baseboard Hot Water Mass Flow Rate,
Beam Sol Amount from Ext Windows on Inside of Surface,Surface Inside Face Exterior Windows Incident Beam Solar Radiation Rate,
Beam Sol Amount from Ext Windows on Inside of Surface Energy,Surface Inside Face Exterior Windows Incident Beam Solar Radiation Energy,
Beam Sol Amount from Int Windows on Inside of Surface,Surface Inside Face Interior Windows Incident Beam Solar Radiation Rate,
Beam Sol Amount from Int Windows on Inside of Surface Energy,Surface Inside Face Interior Windows Incident Beam Solar Radiation Energy,
Beam Sol Intensity from Ext Windows on Inside of Surface,Surface Inside Face Exterior Windows Incident Beam Solar Radiation Rate per Area,
Beam Sol Intensity from Int Windows on Inside of Surface,Surface Inside Face Interior Windows Incident Beam Solar Radiation Rate per Area,
Beam Solar Absorbed by Inside Reveal Surfaces,Surface Window Inside Reveal Absorbed Beam Solar Radiation Rate,
Beam Solar Reflected by Inside Reveal Surfaces,Surface Window Inside Reveal Reflected Beam Solar Radiation Rate,
Beam Solar Reflected by Inside Reveal Surfaces Energy,Surface Window Inside Reveal Reflected Beam Solar Radiation Energy,
Beam Solar Reflected by Outside Reveal Surfaces,Surface Window Outside Reveal Reflected Beam Solar Radiation Rate,
Beam Solar Reflected by Outside Reveal Surfaces Energy,Surface Window Outside Reveal Reflected Beam Solar Radiation Energy,
Beam Solar Transmitted through Interior Window,Surface Window Transmitted Beam Solar Radiation Rate,
Beam Solar Transmitted through Interior Window Energy,Surface Window Transmitted Beam Solar Radiation Energy,
Blind Beam-Beam Solar Transmittance,Surface Window Blind Beam to Beam Solar Transmittance,
Blind Beam-Diffuse Solar Transmittance,Surface Window Blind Beam to Diffuse Solar Transmittance,
Blind Diffuse-Diffuse Solar Transmittance,Surface Window Blind Diffuse to Diffuse Solar Transmittance,
Blind/Glass System Beam-Beam Solar Transmittance,Surface Window Blind and Glazing System Beam Solar Transmittance,
Blind/Glass System Diffuse-Diffuse Solar Transmittance,Surface Window Blind and Glazing System Diffuse Solar Transmittance,
Boiler Coal Consumption,Boiler Coal Energy,
Boiler Coal Consumption Rate,Boiler Coal Rate,
Boiler Diesel Consumption,Boiler Diesel Energy,
Boiler Diesel Consumption Rate,Boiler Diesel Rate,
Boiler Electric Consumption,Boiler Electric Energy,
Boiler Electric Consumption Rate,Boiler Electric Power,
Boiler FuelOil#1 Consumption,Boiler FuelOil#1 Energy,
Boiler FuelOil#1 Consumption Rate,Boiler FuelOil#1 Rate,
Boiler FuelOil#2 Consumption,Boiler FuelOil#2 Energy,
Boiler FuelOil#2 Consumption Rate,Boiler FuelOil#2 Rate,
Boiler Gas Consumption,Boiler Gas Energy,
Boiler Gas Consumption Rate,Boiler Gas Rate,
Boiler Gasoline Consumption,Boiler Gasoline Energy,
Boiler Gasoline Consumption Rate,Boiler Gasoline Rate,
Boiler Heating Output Energy,Boiler Heating Energy,
Boiler Heating Output Rate,Boiler Heating Rate,
Boiler Parasitic Electric Consumption,Boiler Ancillary Electric Energy,
Boiler Parasitic Electric Consumption Rate,Boiler Ancillary Electric Power,
Boiler Part-Load Ratio,Boiler Part Load Ratio,
Boiler Propane Consumption,Boiler Propane Energy,
Boiler Propane Consumption Rate,Boiler Propane Rate,
Boiler Steam Inlet Temp,Boiler Steam Inlet Temperature,
Boiler Steam Outlet Temp,Boiler Steam Outlet Temperature,
Boiler Water Inlet Temp,Boiler Inlet Temperature,
Boiler Water Mass Flow Rate,Boiler Mass Flow Rate,
Boiler Water Outlet Temp,Boiler Outlet Temperature,
Branch Pressure Drop,Plant Branch Pressure Difference,
BSDF Beam Direction Number,Surface Window BSDF Beam Direction Number,
BSDF Beam Phi Angle,Surface Window BSDF Beam Phi Angle,
BSDF Beam Theta Angle,Surface Window BSDF Beam Theta Angle,
Carbon Equivalent Pollution From CH4,Environmental Impact Total CH4 Emissions Carbon Equivalent Mass,
Carbon Equivalent Pollution From CO2,Environmental Impact Total CO2 Emissions Carbon Equivalent Mass,
Carbon Equivalent Pollution From NOx,Environmental Impact Total N2O Emissions Carbon Equivalent Mass,
Carbon Equivalent Pollution From N2O,Environmental Impact Total N2O Emissions Carbon Equivalent Mass,
CEN15251 Adaptive Comfort Temperature,Zone Thermal Comfort CEN 15251 Adaptive Model Temperature,
CEN15251 Running Mean Outdoor Temperature,Zone Thermal Comfort CEN 15251 Adaptive Model Running Average Outdoor Air Temperature,
CEN15251AdaptiveComfort at Category I,Zone Thermal Comfort CEN 15251 Adaptive Model Category I Status,
CEN15251AdaptiveComfort at Category II,Zone Thermal Comfort CEN 15251 Adaptive Model Category II Status,
CEN15251AdaptiveComfort at Category III,Zone Thermal Comfort CEN 15251 Adaptive Model Category III Status,
CH4 Pollution From Coal,Environmental Impact Coal CH4 Emissions Mass,
CH4 Pollution From Diesel,Environmental Impact Diesel CH4 Emissions Mass,
CH4 Pollution From Electricity,Environmental Impact Electricity CH4 Emissions Mass,
CH4 Pollution From Fuel Oil #1,Environmental Impact Fuel Oil #1 CH4 Emissions Mass,
CH4 Pollution From Fuel Oil #2,Environmental Impact Fuel Oil #2 CH4 Emissions Mass,
CH4 Pollution From Gasoline,Environmental Impact Gasoline CH4 Emissions Mass,
CH4 Pollution From Natural Gas,Environmental Impact Natural Gas CH4 Emissions Mass,
CH4 Pollution From Propane,Environmental Impact Propane CH4 Emissions Mass,
Changeover-bypass VAV Bypass Mass Flow Rate,Unitary System Bypass Air Mass Flow Rate,
Changeover-bypass VAV Compressor Part-Load Ratio,Unitary System Compressor Part Load Ratio,
Changeover-bypass VAV Electric Consumption,Unitary System Electric Energy,
Changeover-bypass VAV Electric Power,Unitary System Electric Power,
Changeover-bypass VAV Fan Part-Load Ratio,Unitary System Fan Part Load Ratio,
Changeover-bypass VAV Latent Cooling Energy,Unitary System Latent Cooling Energy,
Changeover-bypass VAV Latent Cooling Rate,Unitary System Latent Cooling Rate,
Changeover-bypass VAV Latent Heating Energy,Unitary System Latent Heating Energy,
Changeover-bypass VAV Latent Heating Rate,Unitary System Latent Heating Rate,
Changeover-bypass VAV Outlet Air Set Point Temp,Unitary System Air Outlet Setpoint Temperature,
Changeover-bypass VAV Sensible Cooling Energy,Unitary System Sensible Cooling Energy,
Changeover-bypass VAV Sensible Cooling Rate,Unitary System Sensible Cooling Rate,
Changeover-bypass VAV Sensible Heating Energy,Unitary System Sensible Heating Energy,
Changeover-bypass VAV Sensible Heating Rate,Unitary System Sensible Heating Rate,
Changeover-bypass VAV Total Cooling Energy,Unitary System Total Cooling Energy,
Changeover-bypass VAV Total Cooling Rate,Unitary System Total Cooling Rate,
Changeover-bypass VAV Total Heating Energy,Unitary System Total Heating Energy,
Changeover-bypass VAV Total Heating Rate,Unitary System Total Heating Rate,
Chilled Water Final Tank Temperature,Chilled Water Thermal Storage Final Tank Temperature,
Chilled Water Tank Final Node 1 Temperature,Chilled Water Thermal Storage Final Temperature Node 1 ,
Chilled Water Tank Final Node 10 Temperature,Chilled Water Thermal Storage Final Temperature Node 10 ,
Chilled Water Tank Final Node 2 Temperature,Chilled Water Thermal Storage Final Temperature Node 2 ,
Chilled Water Tank Final Node 3 Temperature,Chilled Water Thermal Storage Final Temperature Node 2 ,
Chilled Water Tank Final Node 4 Temperature,Chilled Water Thermal Storage Final Temperature Node 4 ,
Chilled Water Tank Final Node 5 Temperature,Chilled Water Thermal Storage Final Temperature Node 5,
Chilled Water Tank Final Node 6 Temperature,Chilled Water Thermal Storage Final Temperature Node 6 ,
Chilled Water Tank Final Node 7 Temperature,Chilled Water Thermal Storage Final Temperature Node 7 ,
Chilled Water Tank Final Node 8 Temperature,Chilled Water Thermal Storage Final Temperature Node 8 ,
Chilled Water Tank Final Node 9 Temperature,Chilled Water Thermal Storage Final Temperature Node 9 ,
Chilled Water Tank Gain Energy,Chilled Water Thermal Storage Tank Heat Gain Energy,
Chilled Water Tank Gain Rate,Chilled Water Thermal Storage Tank Heat Gain Rate,
Chilled Water Tank Node 1 Temperature,Chilled Water Thermal Storage Temperature Node 1 ,
Chilled Water Tank Node 10 Temperature,Chilled Water Thermal Storage Temperature Node 10 ,
Chilled Water Tank Node 2 Temperature,Chilled Water Thermal Storage Temperature Node 2 ,
Chilled Water Tank Node 3 Temperature,Chilled Water Thermal Storage Temperature Node 3 ,
Chilled Water Tank Node 4 Temperature,Chilled Water Thermal Storage Temperature Node 4 ,
Chilled Water Tank Node 5 Temperature,Chilled Water Thermal Storage Temperature Node 5 ,
Chilled Water Tank Node 6 Temperature,Chilled Water Thermal Storage Temperature Node 6 ,
Chilled Water Tank Node 7 Temperature,Chilled Water Thermal Storage Temperature Node 7 ,
Chilled Water Tank Node 8 Temperature,Chilled Water Thermal Storage Temperature Node 8 ,
Chilled Water Tank Node 9 Temperature,Chilled Water Thermal Storage Temperature Node 9 ,
Chilled Water Tank Source Energy,Chilled Water Thermal Storage Source Side Heat Transfer Energy,
Chilled Water Tank Source Flow Rate,Chilled Water Thermal Storage Source Side Mass Flow Rate,
Chilled Water Tank Source Inlet Temperature,Chilled Water Thermal Storage Source Side Inlet Temperature,
Chilled Water Tank Source Outlet Temperature,Chilled Water Thermal Storage Source Side Outlet Temperature,
Chilled Water Tank Source Rate,Chilled Water Thermal Storage Source Side Heat Transfer Rate,
Chilled Water Tank Temperature,Chilled Water Thermal Storage Tank Temperature,
Chilled Water Tank Use Energy,Chilled Water Thermal Storage Use Side Heat Transfer Energy,
Chilled Water Tank Use Flow Rate,Chilled Water Thermal Storage Use Side Mass Flow Rate,
Chilled Water Tank Use Inlet Temperature,Chilled Water Thermal Storage Use Side Inlet Temperature,
Chilled Water Tank Use Outlet Temperature,Chilled Water Thermal Storage Use Side Outlet Temperature,
Chilled Water Tank Use Rate,Chilled Water Thermal Storage Use Side Heat Transfer Rate,
Chiller Basin Heater Electric Consumption,Chiller Basin Heater Electric Energy,
Chiller CapFTemp,Chiller Capacity Temperature Modifier Multiplier,
Chiller Cond Air Inlet Temp,Chiller Condenser Inlet Temperature,Forkeq:  Chiller:*
Chiller Cond Air Inlet Temp,Chiller Heater Condenser Inlet Temperature,Forkeq:  ChillerHeater:*
Chiller Cond Fan Electric Consumption,Chiller Condenser Fan Electric Energy,
Chiller Cond Fan Electric Power,Chiller Condenser Fan Electric Power,
Chiller Cond Heat Trans,Chiller Condenser Heat Transfer Energy,Forkeq:  Chiller:*
Chiller Cond Heat Trans,Chiller Heater Condenser Heat Transfer Energy,Forkeq:  ChillerHeater:*
Chiller Cond Heat Trans Rate,Chiller Condenser Heat Transfer Rate,Forkeq:  Chiller:*
Chiller Cond Heat Trans Rate,Chiller Heater Condenser Heat Transfer Rate,Forkeq:  ChillerHeater:*
Chiller Cond Water Inlet Temp,Chiller Condenser Inlet Temperature,Forkeq:  Chiller:*
Chiller Cond Water Inlet Temp,Chiller Heater Condenser Inlet Temperature,Forkeq:  ChillerHeater:*
Chiller Cond Water Mass Flow Rate,Chiller Condenser Mass Flow Rate,Forkeq:  Chiller:*
Chiller Cond Water Mass Flow Rate,Chiller Heater Condenser Mass Flow Rate,Forkeq:  ChillerHeater:*
Chiller Cond Water Outlet Temp,Chiller Condenser Outlet Temperature,Forkeq:  Chiller:*
Chiller Cond Water Outlet Temp,Chiller Heater Condenser Outlet Temperature,Forkeq:  ChillerHeater:*
Chiller Cycling Fraction,Chiller Cycling Ratio,
Chiller Diesel Consumption,Chiller Diesel Energy,Forkeq:  Chiller:*
Chiller Diesel Consumption,Chiller Heater Diesel Energy,Forkeq:  ChillerHeater:*
Chiller Diesel Consumption Rate,Chiller Diesel Rate,Forkeq:  Chiller:*
Chiller Diesel Consumption Rate,Chiller Heater Diesel Rate,Forkeq:  ChillerHeater:*
Chiller Diesel Mass Consumption,Chiller Diesel Mass,
Chiller EIRFPLR,Chiller EIR Part Load Modifier Multiplier,
Chiller EIRFTemp,Chiller EIR Temperature Modifier Multiplier,
Chiller Electric Consumption,Chiller Electric Energy,Forkeq:  Chiller:*
Chiller Electric Consumption,Chiller Heater Electric Energy,Forkeq:  ChillerHeater:*
Chiller Electric Power,Chiller Electric Power,Forkeq:  Chiller:*
Chiller Electric Power,Chiller Heater Electric Power,Forkeq:  ChillerHeater:*
Chiller Evap Heat Trans,Chiller Evaporator Cooling Energy,Forkeq:  Chiller:*
Chiller Evap Heat Trans,Chiller Heater Evaporator Cooling Energy,Forkeq:  ChillerHeater:*
Chiller Evap Heat Trans Rate,Chiller Evaporator Cooling Rate,Forkeq:  Chiller:*
Chiller Evap Heat Trans Rate,Chiller Heater Evaporator Cooling Rate,Forkeq:  ChillerHeater:*
Chiller Evap Water Inlet Temp,Chiller Evaporator Inlet Temperature,Forkeq:  Chiller:*
Chiller Evap Water Inlet Temp,Chiller Heater Evaporator Inlet Temperature,Forkeq:  ChillerHeater:*
Chiller Evap Water Mass Flow Rate,Chiller Evaporator Mass Flow Rate,Forkeq:  Chiller:*
Chiller Evap Water Mass Flow Rate,Chiller Heater Evaporator Mass Flow Rate,Forkeq:  ChillerHeater:*
Chiller Evap Water Outlet Temp,Chiller Evaporator Outlet Temperature,Forkeq:  Chiller:*
Chiller Evap Water Outlet Temp,Chiller Heater Evaporator Outlet Temperature,Forkeq:  ChillerHeater:*
Chiller Exhaust Heat Recovery,Chiller Exhaust Recovered Heat Energy,
Chiller Exhaust Heat Recovery Rate,Chiller Exhaust Recovered Heat Rate,
